gender,race_ethnicity,level_of_education,language_proficiency,training_manuals,hr_interview_score,x_ray_module_assessment_score,etd_module_assessment_score,phy_module_assessment_score,dg_module_assessment_score,tsa_test_score,cbp_test_score,Certification_exam_score
female,group A,high school,fluent,none,67,79,67,73,74,73,73,55
male,group D,some high school,fluent,none,76,87,76,82,76,73,70,86
male,group C,associate's degree,intermediate,provided,46,58,46,52,50,45,50,43
female,group C,high school,fluent,none,58,70,58,64,63,59,62,54
female,group B,some high school,intermediate,provided,73,85,73,79,80,78,79,63
male,group C,some high school,fluent,none,68,80,68,74,70,66,66,73
female,group A,associate's degree,fluent,none,89,101,89,95,95,93,93,82
male,group B,some college,intermediate,none,52,64,52,58,55,55,47,55
male,group D,some high school,intermediate,none,54,65,54,60,57,54,52,56
male,group C,some college,fluent,none,80,91,80,86,80,74,76,91
female,group C,associate's degree,fluent,none,90,101,90,96,95,89,95,85
female,group D,some college,fluent,provided,76,88,76,82,82,79,81,69
male,group D,some college,fluent,none,63,74,63,69,65,59,62,68
female,group D,some college,intermediate,none,58,70,58,64,65,65,61,49
female,group D,some college,fluent,none,82,94,82,88,88,89,84,74
male,group C,high school,fluent,none,67,79,67,73,69,66,65,71
male,group E,associate's degree,fluent,none,46,57,46,52,47,45,40,53
male,group C,associate's degree,fluent,none,81,93,81,87,84,80,80,84
female,group C,some college,intermediate,provided,71,82,71,77,75,75,70,67
male,group D,high school,intermediate,none,48,60,48,54,49,46,44,55
male,group A,high school,intermediate,provided,68,79,68,74,70,67,65,72
female,group D,some college,fluent,none,99,100,99,105,103,100,99,98
male,group B,some college,intermediate,none,51,62,51,57,53,54,45,54
male,group C,some high school,fluent,none,57,69,57,63,61,61,54,57
female,group C,some high school,intermediate,none,77,89,77,83,84,86,80,65
male,group C,high school,fluent,none,85,97,85,91,88,83,86,86
male,group E,some college,fluent,,89,100,89,95,89,87,82,97
female,group E,some college,fluent,,88,100,88,94,92,85,93,87
female,group D,some college,fluent,provided,78,90,78,84,83,77,83,75
male,group C,associate's degree,fluent,none,85,96,85,91,86,79,84,92
male,group A,some high school,fluent,none,52,63,52,58,55,54,48,53
female,group C,some high school,fluent,none,85,97,85,91,91,91,88,77
male,group D,some college,fluent,none,50,62,50,56,56,54,53,44
female,group B,high school,fluent,provided,73,85,73,79,78,76,74,69
female,group E,some high school,intermediate,none,35,46,35,41,39,34,38,32
female,group C,some high school,limitted,none,9,21,9,15,15,17,10,0
male,group C,some high school,fluent,provided,60,71,60,66,62,60,57,63
male,group A,high school,fluent,none,61,72,61,67,63,60,58,64
male,group D,associate's degree,fluent,none,69,80,69,75,68,63,63,80
female,group C,associate's degree,fluent,none,56,68,56,62,60,62,53,53
female,group D,associate's degree,intermediate,none,32,44,32,38,37,31,38,26
female,group D,associate's degree,fluent,none,71,83,71,77,77,76,74,64
male,group E,high school,fluent,provided,86,98,86,92,89,91,81,87
female,group D,some high school,fluent,provided,75,87,75,81,82,78,82,65
male,group C,high school,fluent,none,47,58,47,53,49,48,42,50
male,group E,high school,fluent,provided,94,111,99,105,101,100,100,100
male,group C,some high school,fluent,none,67,79,67,73,69,66,63,73
female,group C,high school,limitted,none,44,56,44,50,50,53,43,36
male,group C,some high school,fluent,none,58,69,58,64,59,58,51,64
female,group B,some college,fluent,provided,92,103,92,98,96,95,92,88
female,group B,high school,intermediate,none,67,79,67,73,72,72,68,60
female,group D,associate's degree,intermediate,none,53,65,53,59,58,53,58,47
male,group B,high school,fluent,provided,70,81,70,76,72,69,68,73
male,group E,some college,fluent,none,77,89,77,83,78,77,71,84
male,group E,high school,fluent,provided,68,79,68,74,69,62,66,76
female,group C,high school,intermediate,provided,67,80,67,73,76,72,79,51
female,group C,associate's degree,fluent,none,64,76,64,70,69,66,67,59
female,group B,some high school,intermediate,none,54,66,54,60,59,58,55,49
male,group C,high school,intermediate,none,63,74,63,69,67,66,61,61
female,group C,some college,fluent,none,63,75,63,69,69,69,65,55
female,group A,high school,intermediate,none,63,76,63,69,71,67,73,50
female,group B,some high school,intermediate,provided,62,74,62,68,66,63,64,59
male,group B,some college,intermediate,none,38,49,38,44,40,39,34,41
male,group D,some high school,fluent,none,83,94,83,89,86,84,80,84
female,group C,high school,intermediate,,55,67,55,61,62,62,60,42
female,group C,associate's degree,fluent,none,93,100,93,99,97,95,94,91
female,group E,high school,fluent,none,69,81,69,75,74,73,70,64
male,group E,some college,fluent,none,62,74,62,68,64,60,59,68
female,group B,some college,fluent,none,86,98,86,92,91,86,92,79
female,group B,high school,intermediate,provided,61,73,61,67,68,70,62,52
male,group C,some college,fluent,none,84,96,84,90,87,87,81,84
female,group B,some high school,fluent,none,81,93,81,87,84,82,80,82
male,group D,high school,fluent,none,86,98,86,92,90,84,89,85
female,group C,some college,fluent,none,56,68,56,62,61,58,58,52
female,group C,associate's degree,intermediate,none,72,84,72,78,78,77,74,65
female,group D,associate's degree,fluent,none,76,87,76,82,79,77,73,77
male,group C,high school,fluent,none,59,70,59,65,59,56,51,70
male,group C,associate's degree,fluent,provided,56,68,56,62,61,60,58,51
male,group D,high school,fluent,provided,48,59,48,54,49,41,48,55
male,group B,high school,intermediate,none,51,63,51,57,55,53,52,49
female,group C,associate's degree,intermediate,provided,65,77,65,71,71,68,70,56
male,group E,some college,intermediate,none,89,100,89,95,91,90,83,93
female,group C,some high school,intermediate,provided,73,85,73,79,80,79,77,64
male,group D,high school,fluent,none,82,94,82,88,86,81,84,81
male,group B,high school,intermediate,none,56,68,56,62,60,59,54,55
male,group C,some college,fluent,none,59,71,59,65,62,60,58,59
male,group D,associate's degree,intermediate,provided,80,82,71,77,78,71,73,61
female,group C,associate's degree,fluent,none,66,78,66,72,70,64,70,64
female,group D,some college,fluent,provided,76,88,76,82,80,75,79,74
female,group E,associate's degree,fluent,provided,92,103,92,98,94,89,92,95
male,group C,high school,fluent,none,70,81,70,76,70,66,64,81
female,group E,some high school,intermediate,none,76,88,76,82,81,79,77,72
female,group E,high school,fluent,none,100,112,100,106,103,100,100,100
male,group D,high school,fluent,none,70,82,70,76,73,70,70,70
female,group E,high school,fluent,provided,90,105,93,99,98,99,95,88
male,group B,associate's degree,intermediate,provided,78,89,78,84,80,78,74,82
female,group E,some high school,fluent,none,79,90,79,85,83,79,80,77
male,group D,some college,fluent,provided,67,78,67,73,69,61,69,71
male,group B,associate's degree,intermediate,none,63,74,63,69,65,62,60,67
female,group C,some college,fluent,provided,92,104,92,98,97,95,94,88
female,group E,associate's degree,fluent,none,100,100,100,106,103,100,100,100
male,group C,high school,fluent,none,72,83,72,78,76,74,71,70
male,group D,associate's degree,intermediate,none,53,65,53,59,57,57,50,52
male,group C,high school,intermediate,none,59,70,59,65,61,60,55,61
female,group E,some college,fluent,provided,68,80,68,74,73,72,70,63
male,group B,some college,fluent,none,64,75,64,70,66,65,60,66
male,group C,some high school,fluent,provided,76,88,76,82,80,80,73,76
female,group D,some high school,fluent,provided,99,100,99,105,103,100,100,97
male,group C,some college,fluent,none,47,58,47,53,47,41,42,59
male,group C,associate's degree,intermediate,none,63,75,63,69,66,66,59,64
male,group A,high school,fluent,provided,73,85,73,79,77,73,74,72
male,group D,associate's degree,fluent,none,75,86,75,81,76,71,73,81
male,group D,high school,fluent,none,53,64,53,59,56,52,52,54
female,group C,some college,fluent,none,78,90,78,84,83,80,82,73
female,group B,some high school,intermediate,provided,84,96,84,90,91,90,88,74
male,group D,high school,fluent,none,85,96,85,91,87,87,79,89
male,group C,high school,limitted,,32,44,32,38,37,34,36,27
other,group C,some high school,fluent,none,77,89,77,83,81,75,82,74
male,group C,high school,intermediate,provided,45,57,45,51,50,46,50,40
female,group C,some college,fluent,none,85,97,85,91,89,83,90,83
male,group B,high school,fluent,none,55,66,55,61,57,54,51,59
female,group D,high school,fluent,none,63,75,63,69,67,64,64,62
female,group B,some high school,fluent,none,77,89,77,83,82,79,79,73
female,group C,some college,fluent,none,67,79,67,73,73,71,70,59
female,group D,high school,fluent,none,88,100,88,94,95,91,96,78
male,group C,high school,fluent,provided,71,82,71,77,73,69,68,75
female,group E,some college,fluent,none,62,74,62,68,66,64,62,61
female,group B,high school,fluent,none,69,81,69,75,74,72,70,66
male,group A,high school,intermediate,none,52,63,52,58,55,58,44,53
male,group D,some college,intermediate,none,65,76,65,71,67,66,60,69
male,group D,high school,intermediate,none,56,67,56,62,58,57,51,60
female,group C,some high school,fluent,provided,60,72,60,66,64,54,67,59
male,group D,associate's degree,fluent,none,52,64,52,58,55,55,49,52
male,group B,some college,fluent,provided,72,84,72,78,76,75,70,71
female,group B,associate's degree,fluent,provided,65,77,65,71,70,70,66,59
male,group A,some college,fluent,provided,73,85,73,79,75,72,70,78
female,group D,high school,intermediate,provided,66,77,66,72,69,61,71,65
male,group C,high school,fluent,none,51,63,51,57,54,53,49,52
male,group B,some high school,intermediate,provided,65,64,54,60,59,50,52,49
female,group D,some college,intermediate,none,62,74,62,68,67,67,62,58
female,group D,some college,fluent,provided,85,97,85,91,90,84,91,79
female,group D,some college,intermediate,provided,65,77,65,71,70,63,73,58
other,group B,some high school,fluent,provided,82,94,82,88,87,82,86,79
male,group D,high school,intermediate,none,59,70,59,65,61,57,56,63
male,group C,high school,intermediate,none,64,75,64,70,66,66,59,66
male,group D,associate's degree,intermediate,none,84,95,84,90,85,87,75,90
male,group C,some college,intermediate,none,70,81,70,76,70,64,66,80
female,group C,associate's degree,fluent,none,67,78,67,73,71,67,70,63
male,group B,some high school,fluent,provided,82,94,82,88,85,84,78,85
male,group E,some high school,fluent,provided,77,88,77,83,80,76,77,77
female,group C,some college,fluent,provided,82,95,82,88,90,89,88,70
male,group B,high school,fluent,none,55,66,55,61,57,58,47,59
male,group D,high school,intermediate,none,48,59,48,54,52,51,48,44
female,group B,some high school,limitted,provided,42,54,42,48,49,51,44,32
male,group D,some college,intermediate,none,51,62,51,57,55,57,46,49
female,group C,high school,fluent,none,78,90,78,84,84,80,83,72
male,group E,some college,fluent,provided,82,93,82,88,84,83,78,84
female,group E,high school,intermediate,provided,68,81,68,74,75,75,73,57
female,group D,high school,intermediate,provided,98,109,98,104,103,100,100,93
male,group C,high school,fluent,none,78,89,78,84,80,78,73,83
female,group C,some college,intermediate,none,86,98,86,92,92,90,91,77
female,group C,high school,fluent,none,88,100,88,94,92,92,87,86
male,group B,some college,fluent,none,59,70,59,65,59,54,55,69
male,group B,associate's degree,fluent,provided,91,100,91,97,94,89,92,91
female,group C,associate's degree,intermediate,none,59,71,59,65,64,61,62,53
male,group B,some high school,fluent,provided,49,60,49,55,51,54,41,51
female,group C,some college,intermediate,none,64,75,64,70,68,67,62,62
female,group C,high school,fluent,none,66,78,66,72,72,72,68,59
male,group D,high school,fluent,none,46,58,46,52,50,48,46,45
female,group C,some college,fluent,none,87,99,87,93,92,87,91,84
female,group B,some college,intermediate,provided,64,76,64,70,71,66,73,53
female,group D,high school,fluent,none,73,85,73,79,78,77,73,69
male,group C,some college,limitted,none,30,41,30,36,32,28,27,35
female,group C,high school,fluent,none,69,81,69,75,74,69,74,63
female,group D,high school,intermediate,none,46,58,46,52,51,52,46,39
female,group A,some high school,intermediate,none,67,79,67,73,73,73,69,59
female,group C,high school,limitted,provided,62,74,62,68,68,64,67,54
female,group B,some college,fluent,none,85,96,85,91,89,85,87,82
male,group D,high school,fluent,none,49,60,49,55,51,52,42,53
male,group A,high school,intermediate,none,45,56,45,51,47,45,41,48
male,group C,associate's degree,fluent,none,77,88,77,83,78,76,71,85
male,group A,some college,intermediate,provided,80,92,80,86,83,78,81,81
male,group C,associate's degree,fluent,none,40,51,40,46,41,37,35,47
female,group A,some college,fluent,none,59,71,59,65,64,58,64,56
female,group B,high school,intermediate,none,49,62,49,55,56,60,50,38
female,group D,some college,intermediate,provided,74,87,74,80,81,80,80,63
male,group B,high school,intermediate,none,53,64,53,59,53,48,47,63
female,group C,some high school,fluent,provided,90,102,90,96,95,92,93,85
female,group B,bachelor's degree,fluent,none,73,84,73,79,76,72,74,72
male,group D,bachelor's degree,intermediate,provided,75,87,75,81,79,71,80,74
female,group C,bachelor's degree,fluent,none,70,82,70,76,75,69,75,67
other,group E,bachelor's degree,intermediate,provided,75,86,75,81,77,74,72,79
male,group A,bachelor's degree,fluent,provided,80,91,80,86,83,78,81,80
female,group C,bachelor's degree,fluent,none,70,82,70,76,75,72,74,65
female,group D,bachelor's degree,fluent,none,65,76,65,71,68,67,62,65
male,group D,bachelor's degree,fluent,provided,72,84,72,78,77,74,74,68
female,group E,bachelor's degree,fluent,provided,100,111,100,106,103,100,100,99
female,group B,bachelor's degree,intermediate,none,81,93,81,87,86,85,82,75
other,group D,bachelor's degree,fluent,none,80,91,80,86,84,82,79,78
female,group C,bachelor's degree,fluent,provided,87,99,87,93,93,92,89,79
female,group A,bachelor's degree,fluent,none,50,62,50,56,53,49,51,51
male,group D,bachelor's degree,intermediate,provided,76,88,76,82,80,79,75,74
male,group C,bachelor's degree,fluent,none,54,65,54,60,56,55,48,58
female,group D,bachelor's degree,fluent,provided,75,87,75,81,80,75,81,68
male,group A,bachelor's degree,fluent,none,71,82,71,77,72,67,68,77
male,group D,bachelor's degree,fluent,none,50,61,50,56,52,49,47,54
female,group C,bachelor's degree,fluent,provided,99,100,99,105,103,100,100,96
female,group C,bachelor's degree,intermediate,provided,49,61,49,55,55,51,54,43
female,group C,,fluent,none,84,96,84,90,90,88,87,77
female,group B,bachelor's degree,intermediate,none,78,89,78,84,81,79,76,78
male,group E,bachelor's degree,fluent,,69,79,69,75,68,62,62,82
female,group B,bachelor's degree,fluent,none,79,91,79,85,86,86,83,67
male,group C,bachelor's degree,fluent,provided,83,95,83,89,86,82,84,83
male,group D,bachelor's degree,intermediate,none,65,77,65,71,69,66,67,63
female,group E,bachelor's degree,fluent,none,82,94,82,88,86,83,83,80
female,group C,bachelor's degree,fluent,none,73,85,73,79,80,75,81,63
male,group C,bachelor's degree,fluent,none,64,76,64,70,66,63,61,69
male,group C,bachelor's degree,fluent,none,78,89,78,84,80,78,73,83
male,group B,bachelor's degree,intermediate,none,62,73,62,68,62,56,57,73
female,group D,,intermediate,none,79,91,79,85,84,79,84,73
male,group B,bachelor's degree,intermediate,none,80,91,80,86,80,75,76,88
female,group E,bachelor's degree,fluent,none,71,83,71,77,76,73,75,65
other,group B,bachelor's degree,fluent,none,61,72,61,67,63,60,57,66
male,group D,bachelor's degree,fluent,provided,65,77,65,71,68,61,68,67
female,group C,bachelor's degree,fluent,provided,66,78,66,72,72,64,75,59
male,group B,bachelor's degree,fluent,none,68,79,68,74,73,71,69,63
female,group C,bachelor's degree,fluent,none,90,102,90,96,96,93,95,83
female,group C,bachelor's degree,fluent,provided,89,101,89,95,96,94,95,77
female,group B,bachelor's degree,fluent,none,62,74,62,68,69,65,69,52
female,group B,bachelor's degree,fluent,none,68,80,68,74,73,72,70,61
male,group A,bachelor's degree,intermediate,provided,56,68,56,62,61,58,60,49
male,group C,bachelor's degree,intermediate,none,63,74,63,69,67,66,61,61
female,group D,bachelor's degree,fluent,none,67,79,67,73,73,70,73,59
male,group A,bachelor's degree,fluent,none,64,75,64,70,67,64,62,66
female,group E,bachelor's degree,fluent,none,69,81,69,75,74,73,70,64
female,group C,bachelor's degree,intermediate,provided,67,80,67,73,76,72,79,51
male,group C,bachelor's degree,fluent,provided,71,83,71,77,74,74,68,71
male,group C,bachelor's degree,fluent,none,85,97,85,91,88,83,86,86
male,group C,bachelor's degree,intermediate,none,47,59,47,53,53,56,47,37
other,group B,master's degree,fluent,none,93,104,93,99,97,95,93,90
female,group A,master's degree,fluent,none,54,65,54,60,58,53,58,50
male,group C,master's degree,intermediate,provided,45,56,45,51,48,42,46,46
male,group A,master's degree,intermediate,none,73,85,73,79,76,74,72,73
female,group D,master's degree,fluent,none,69,81,69,75,75,70,75,62
female,group E,master's degree,intermediate,none,64,76,64,70,70,72,65,56
female,group E,master's degree,fluent,none,66,78,66,72,71,68,68,62
other,group D,master's degree,fluent,,96,108,96,102,102,100,100,87
male,group D,master's degree,fluent,none,79,100,79,85,82,82,74,82
other,group D,master's degree,fluent,none,85,96,85,91,87,84,82,89
male,group B,master's degree,intermediate,none,51,63,51,57,55,53,52,49
female,group E,master's degree,fluent,none,88,100,88,94,94,92,91,81
female,group B,master's degree,intermediate,provided,71,83,71,77,78,76,78,58
female,group C,master's degree,fluent,provided,86,98,86,92,91,91,87,81
female,group B,master's degree,intermediate,,41,52,41,47,40,70,,52
other,group C,master's degree,intermediate,provided,68,80,68,74,74,68,75,62
female,group C,,fluent,provided,79,91,79,85,86,84,85,69
female,group E,master's degree,intermediate,none,52,64,52,58,57,56,54,45
male,group D,master's degree,fluent,none,77,89,77,83,80,80,72,80
female,group C,master's degree,intermediate,provided,76,88,76,82,83,81,81,65
female,group D,master's degree,fluent,provided,83,95,83,89,89,82,91,77
male,group C,high school,intermediate,none,47,59,47,53,53,56,47,37
female,group B,high school,intermediate,none,81,93,81,87,86,85,82,75
male,group A,some college,intermediate,none,58,70,58,64,62,60,57,58
female,group D,some high school,fluent,none,81,93,81,87,87,84,85,73
male,group D,some college,fluent,provided,84,95,84,90,87,81,85,85
female,group A,high school,fluent,provided,79,90,79,85,83,82,79,75
male,group C,high school,fluent,provided,92,100,92,98,94,90,91,94
male,group D,high school,fluent,none,61,72,61,67,62,58,57,69
female,group D,some college,fluent,none,69,80,69,75,73,70,71,65
male,group B,high school,fluent,none,81,93,81,87,84,82,80,82
female,group A,some college,fluent,none,78,90,78,84,85,84,82,69
female,group D,high school,fluent,provided,96,108,96,102,102,99,100,88
female,group D,some college,fluent,provided,90,101,90,96,95,86,98,85
male,group C,some college,intermediate,none,57,68,57,63,58,58,49,65
male,group D,high school,fluent,provided,65,77,65,71,68,61,68,67
female,group A,high school,fluent,none,54,65,54,60,58,53,58,50
female,group E,high school,intermediate,provided,73,85,73,79,78,74,78,66
male,group C,high school,intermediate,none,63,74,63,69,67,66,61,61
female,group C,some college,fluent,none,63,75,63,69,69,69,65,55
female,group A,high school,intermediate,none,63,76,63,69,71,67,73,50
male,group A,some college,intermediate,provided,80,92,80,86,83,78,81,81
male,group C,associate's degree,fluent,none,40,51,40,46,41,37,35,47
female,group A,some college,fluent,none,59,71,59,65,64,58,64,56
